"","Module","Gene"
"AIRE","c1_HuAgeGBsplitRnaseq_10","AIRE"
"AJ239322.1","c1_HuAgeGBsplitRnaseq_10","AJ239322.1"
"AK7","c1_HuAgeGBsplitRnaseq_10","AK7"
"AKAP14","c1_HuAgeGBsplitRnaseq_10","AKAP14"
"AKR1B10","c1_HuAgeGBsplitRnaseq_10","AKR1B10"
"AKR1B15","c1_HuAgeGBsplitRnaseq_10","AKR1B15"
"AL008719.1","c1_HuAgeGBsplitRnaseq_10","AL008719.1"
"AL020994.2","c1_HuAgeGBsplitRnaseq_10","AL020994.2"
"AL021391.1","c1_HuAgeGBsplitRnaseq_10","AL021391.1"
"AL021392.1","c1_HuAgeGBsplitRnaseq_10","AL021392.1"
"AL024507.1","c1_HuAgeGBsplitRnaseq_10","AL024507.1"
"AL035252.2","c1_HuAgeGBsplitRnaseq_10","AL035252.2"
"AL035420.1","c1_HuAgeGBsplitRnaseq_10","AL035420.1"
"AL035661.1","c1_HuAgeGBsplitRnaseq_10","AL035661.1"
"AL035665.1","c1_HuAgeGBsplitRnaseq_10","AL035665.1"
"AL049748.1","c1_HuAgeGBsplitRnaseq_10","AL049748.1"
"AL049767.1","c1_HuAgeGBsplitRnaseq_10","AL049767.1"
"AL049836.2","c1_HuAgeGBsplitRnaseq_10","AL049836.2"
"AL049874.2","c1_HuAgeGBsplitRnaseq_10","AL049874.2"
"AL050303.4","c1_HuAgeGBsplitRnaseq_10","AL050303.4"
"AL080243.1","c1_HuAgeGBsplitRnaseq_10","AL080243.1"
"AL109924.2","c1_HuAgeGBsplitRnaseq_10","AL109924.2"
"AL109924.4","c1_HuAgeGBsplitRnaseq_10","AL109924.4"
"AL121583.1","c1_HuAgeGBsplitRnaseq_10","AL121583.1"
"AL121785.1","c1_HuAgeGBsplitRnaseq_10","AL121785.1"
"AL121899.1","c1_HuAgeGBsplitRnaseq_10","AL121899.1"
"AL121906.1","c1_HuAgeGBsplitRnaseq_10","AL121906.1"
"AL121912.1","c1_HuAgeGBsplitRnaseq_10","AL121912.1"
"AL132656.2","c1_HuAgeGBsplitRnaseq_10","AL132656.2"
"AL132780.3","c1_HuAgeGBsplitRnaseq_10","AL132780.3"
"AL132801.1","c1_HuAgeGBsplitRnaseq_10","AL132801.1"
"AL132875.2","c1_HuAgeGBsplitRnaseq_10","AL132875.2"
"AL133373.2","c1_HuAgeGBsplitRnaseq_10","AL133373.2"
"AL133551.1","c1_HuAgeGBsplitRnaseq_10","AL133551.1"
"AL136382.1","c1_HuAgeGBsplitRnaseq_10","AL136382.1"
"AL138787.1","c1_HuAgeGBsplitRnaseq_10","AL138787.1"
"AL138831.2","c1_HuAgeGBsplitRnaseq_10","AL138831.2"
"AL139008.2","c1_HuAgeGBsplitRnaseq_10","AL139008.2"
"AL157414.1","c1_HuAgeGBsplitRnaseq_10","AL157414.1"
"AL158207.1","c1_HuAgeGBsplitRnaseq_10","AL158207.1"
"AL158801.2","c1_HuAgeGBsplitRnaseq_10","AL158801.2"
"AL160191.2","c1_HuAgeGBsplitRnaseq_10","AL160191.2"
"AL160270.1","c1_HuAgeGBsplitRnaseq_10","AL160270.1"
"AL161618.1","c1_HuAgeGBsplitRnaseq_10","AL161618.1"
"AL161629.1","c1_HuAgeGBsplitRnaseq_10","AL161629.1"
"AL162373.1","c1_HuAgeGBsplitRnaseq_10","AL162373.1"
"AL162386.1","c1_HuAgeGBsplitRnaseq_10","AL162386.1"
"AL162427.1","c1_HuAgeGBsplitRnaseq_10","AL162427.1"
"AL162574.2","c1_HuAgeGBsplitRnaseq_10","AL162574.2"
"AL353600.1","c1_HuAgeGBsplitRnaseq_10","AL353600.1"
"AL353621.2","c1_HuAgeGBsplitRnaseq_10","AL353621.2"
"AL353705.1","c1_HuAgeGBsplitRnaseq_10","AL353705.1"
"AL353705.4","c1_HuAgeGBsplitRnaseq_10","AL353705.4"
"AL353747.2","c1_HuAgeGBsplitRnaseq_10","AL353747.2"
"AL353747.3","c1_HuAgeGBsplitRnaseq_10","AL353747.3"
"AL353747.4","c1_HuAgeGBsplitRnaseq_10","AL353747.4"
"AL353765.1","c1_HuAgeGBsplitRnaseq_10","AL353765.1"
"AL353770.4","c1_HuAgeGBsplitRnaseq_10","AL353770.4"
"AL355300.1","c1_HuAgeGBsplitRnaseq_10","AL355300.1"
"AL355490.1","c1_HuAgeGBsplitRnaseq_10","AL355490.1"
"AL355607.1","c1_HuAgeGBsplitRnaseq_10","AL355607.1"
"AL356488.1","c1_HuAgeGBsplitRnaseq_10","AL356488.1"
"AL356867.1","c1_HuAgeGBsplitRnaseq_10","AL356867.1"
"AL357137.1","c1_HuAgeGBsplitRnaseq_10","AL357137.1"
"AL357874.1","c1_HuAgeGBsplitRnaseq_10","AL357874.1"
"AL359198.2","c1_HuAgeGBsplitRnaseq_10","AL359198.2"
"AL359502.1","c1_HuAgeGBsplitRnaseq_10","AL359502.1"
"AL359736.2","c1_HuAgeGBsplitRnaseq_10","AL359736.2"
"AL365226.1","c1_HuAgeGBsplitRnaseq_10","AL365226.1"
"AL390240.1","c1_HuAgeGBsplitRnaseq_10","AL390240.1"
"AL390879.1","c1_HuAgeGBsplitRnaseq_10","AL390879.1"
"AL390961.1","c1_HuAgeGBsplitRnaseq_10","AL390961.1"
"AL391069.2","c1_HuAgeGBsplitRnaseq_10","AL391069.2"
"AL391095.1","c1_HuAgeGBsplitRnaseq_10","AL391095.1"
"AL391095.3","c1_HuAgeGBsplitRnaseq_10","AL391095.3"
"AL451064.2","c1_HuAgeGBsplitRnaseq_10","AL451064.2"
"AL512303.1","c1_HuAgeGBsplitRnaseq_10","AL512303.1"
"AL512329.1","c1_HuAgeGBsplitRnaseq_10","AL512329.1"
"AL512329.2","c1_HuAgeGBsplitRnaseq_10","AL512329.2"
"AL512430.3","c1_HuAgeGBsplitRnaseq_10","AL512430.3"
"AL513283.1","c1_HuAgeGBsplitRnaseq_10","AL513283.1"
"AL513534.2","c1_HuAgeGBsplitRnaseq_10","AL513534.2"
"AL583835.2","c1_HuAgeGBsplitRnaseq_10","AL583835.2"
"AL589765.7","c1_HuAgeGBsplitRnaseq_10","AL589765.7"
"AL590095.2","c1_HuAgeGBsplitRnaseq_10","AL590095.2"
"AL590483.2","c1_HuAgeGBsplitRnaseq_10","AL590483.2"
"AL590560.3","c1_HuAgeGBsplitRnaseq_10","AL590560.3"
"AL591543.1","c1_HuAgeGBsplitRnaseq_10","AL591543.1"
"AL591896.1","c1_HuAgeGBsplitRnaseq_10","AL591896.1"
"AL591926.1","c1_HuAgeGBsplitRnaseq_10","AL591926.1"
