"InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"c1_HuAgeGBsplitRnaseq_193","PGBCbyQGBC__","User",1.1135823836326e-05
"c1_HuAgeGBsplitRnaseq_162","PSVZbyQSVZ__","User",1.16927954448768e-05
"c1_HuAgeGBsplitRnaseq_331","QSVZbyPSVZ__","User",1.25011930524565e-05
"c1_HuAgeGBsplitRnaseq_30","NSCbyNPC__","User",1.40640183526842e-05
"c1_HuAgeGBsplitRnaseq_62","TAPbyQNP__","User",1.49562016502737e-05
"c1_HuAgeGBsplitRnaseq_35","QNPbyTAP__","User",1.57813393586009e-05
"c1_HuAgeGBsplitRnaseq_51","PSVZbyQSVZ__","User",1.76961180177227e-05
"c1_HuAgeGBsplitRnaseq_456","PSVZbyQSVZ__","User",1.89598710505934e-05
"c1_HuAgeGBsplitRnaseq_36","QSVZbyPSVZ__","User",1.93928804916337e-05
"c1_HuAgeGBsplitRnaseq_49","TAPbyQNP__","User",2.1104928205615e-05
"c1_HuAgeGBsplitRnaseq_217","NPCbyNSC__","User",2.4192090677043e-05
"c1_HuAgeGBsplitRnaseq_22","QGBCbyPGBC__","User",2.45439040492966e-05
"c1_HuAgeGBsplitRnaseq_583","QGBObyPGBO__","User",2.46645481370545e-05
"c1_HuAgeGBsplitRnaseq_691","NPCbyNSC__","User",2.47225912748703e-05
"c1_HuAgeGBsplitRnaseq_162","QSVZbyPSVZ__","User",2.76093519845567e-05
"c1_HuAgeGBsplitRnaseq_306","PSVZbyQSVZ__","User",2.91235574144253e-05
"c1_HuAgeGBsplitRnaseq_60","QSVZbyPSVZ__","User",2.9209149477203e-05
"c1_HuAgeGBsplitRnaseq_691","QSVZbyPSVZ__","User",2.99572212355213e-05
"c1_HuAgeGBsplitRnaseq_62","QSVZbyPSVZ__","User",3.19730488062521e-05
"c1_HuAgeGBsplitRnaseq_48","QGBCbyPGBC__","User",3.5446020371503e-05
"c1_HuAgeGBsplitRnaseq_151","TAPbyQNP__","User",3.57770296690353e-05
"c1_HuAgeGBsplitRnaseq_45","QGBCbyPGBC__","User",3.72326216229787e-05
