"","PSVZbyQSVZ","AveExpr","F","P.Value","adj.P.Val"
"Ppil6",-4.683434131507,5.59713467279832,185.448647748522,9.73146651694611e-05,0.0130524616061527
"Aspm",7.43043976846708,6.3001823849547,184.907988294846,9.7923969116379e-05,0.0130524616061527
"Supt16",3.57487741407078,8.6116273615133,184.513854152098,9.83716576039422e-05,0.0130524616061527
"Atf3",2.79844856630315,3.98418678387273,181.049508477787,0.000102438457038744,0.0135086787364896
"Nup85",4.44547770906836,6.36482710610154,180.001259236069,0.000103717357118845,0.0135807717418539
"Gm15453",2.19025740607646,11.5338186317352,179.571214212187,0.000104248771221488,0.0135807717418539
"Itgav",-3.11402927796599,9.2195458639932,178.648791994492,0.000105402102865691,0.0136483024162532
"Mfap3l",-7.43218660523328,8.12385925159493,177.449663742616,0.000106929435009157,0.0137263170986881
"Il33",-6.60717734828409,6.86740625453256,177.017709354658,0.000107487531351563,0.0137263170986881
"Trpm3",-4.81145075064663,5.31047388121202,176.343032258959,0.000108367769528751,0.0137263170986881
"Gja1",-1.86516810003587,13.224099060983,176.197579462669,0.000108558916342264,0.0137263170986881
"Cdca8",5.2968222223836,6.36699618729385,174.158655402696,0.000111290949927047,0.0139894676531104
"Wdr12",3.72123285419365,6.00235506152995,172.841412582318,0.000113109617044664,0.01413541406032
"Kank1",-4.40045376541646,4.85932019054154,171.047383282233,0.00011565709034829,0.0143702263412514
"Ier5",3.96366540609491,8.07337739773219,169.720820807212,0.000117594952976432,0.0144408435027196
"Spag5",4.5850038863984,5.1640718912376,169.588084035221,0.000117791458556095,0.0144408435027196
"Pola1",4.91196550809907,5.0409452547707,169.285693586039,0.000118240914467488,0.0144408435027196
"Rps4x",1.51076683557236,12.6867514278082,168.522793753416,0.000119386023703549,0.0144983196582361
"Gdf10",-8.05530629636533,7.3600463084952,167.63953892416,0.000120732101792434,0.0145794186967885
"Smc2",7.01701256030807,7.08354551077295,167.096088013747,0.000121571347597534,0.0145987492547989
"Pigs",-3.37223291763239,8.23241740231228,166.514070018844,0.000122479622658385,0.0146261082724554
"1110054M08Rik",-2.87363887966747,4.0217819405549,165.266371032699,0.000124460388479431,0.0147805306650021
"Snrnp25",3.2550226504902,5.84766404428238,164.184914469972,0.000126215272016648,0.0149065784175706
"Rpia",4.12729283800591,5.29306318871401,163.509797343447,0.000127329143060399,0.0149559559020944
"Dlg1",-1.44391786450674,7.98173843434971,162.178558142446,0.000129567964532468,0.0151279879641948
"Cd38",-4.77207476281914,6.48916568170486,161.808018133687,0.000130201338607864,0.0151279879641948
"Lsm3",3.65212902850183,9.60861956722975,159.501680293493,0.000134247084674494,0.015434571231432
"Gm8430",1.0524229820485,13.2247393802106,159.485505483101,0.000134276102362307,0.015434571231432
"AU024581",4.32930807639331,5.06537826665183,158.814797046256,0.000135487458318053,0.0154413375481585
"Ppp2r2b",-4.9498864143653,6.62377155429997,158.658680234594,0.0001357717048896,0.0154413375481585
"Dbf4",5.93396878878399,5.6260777022253,158.181216635239,0.000136646455951791,0.0154590293193882
"Tuba1a",0.452750779767866,13.9631020777078,157.276116234473,0.000138327385714063,0.0154938817002016
"Gas2l3",6.99079238173979,6.30275111292749,157.239430734253,0.000138396151962722,0.0154938817002016
"Hist1h2ab",6.66540530706104,8.70878991196278,156.44829145558,0.000139891343160399,0.0155801265348848
"Cenpv",3.37559952815065,7.91484848768387,155.923614761869,0.00014089597082469,0.0156111283137975
"Rasgrp1",-5.32701001800854,5.24846750972543,154.807532201535,0.000143068299255866,0.0157365419328838
"Cxcl14",-7.7437015312782,7.97767067328693,154.592684884183,0.000143492078103988,0.0157365419328838
"Rsl1d1",2.52199970115657,9.47131215797951,154.114217194019,0.000144442442923687,0.0157603569068257
"Sparcl1",-3.70254026305877,12.1361753885633,152.492909977789,0.00014773197139276,0.0158798952899735
"D030002E05Rik",1.50772804858046,4.00295088258826,152.324762652675,0.000148079370013586,0.0158798952899735
"Brinp3",-4.1342856178748,5.2955870841877,152.237094516563,0.000148260968434101,0.0158798952899735
"Cystm1",-5.11705299481875,5.89428013762212,151.895017499952,0.000148972672813547,0.0158798952899735
