"","Glioblastoma_cancer_stem_cell"
"ADD1",4.19388280813086
"ADD3",2.47016580590081
"ADGRA2",1.25515032729626
"ADGRA3",1.94125866209278
"ADGRG6",0.542945149332901
"ADGRG7",0.743735433258237
"ADGRL2",2.0493469209339
"ADGRV1",0.514117844963742
"ADH5",5.99705546569382
"ADH5P4",0.528628938643418
"ADI1",4.43251489061768
"ADIG",0.393386399457902
"ADIPOR2",3.80943946096774
"ADM",6.03387823997855
"ADNP",4.93668245204424
"ADNP2",3.19377662818081
"ADO",7.00086803989852
"ADORA1",1.68446935783371
"ADORA2B",2.50750458643908
"ADPGK",4.15434477900084
"ADPRH",0.678084272480787
"ADPRHL2",5.38779395315158
"ADRA1D",0.448697539269195
"ADRM1",6.42492415145949
"ADSS",4.22105675092537
"AF131215.7",0.790233821489963
"AF201337.1",0.569967159697264
"AF250324.1",0.819436966233121
"AGA",4.01962827904159
"AGFG1",3.50622256648598
"AGL",3.44800448167682
"AGO1",3.4510211160596
"AGO2",3.2145701182243
"AGPAT3",2.93835777892858
"AGPAT5",4.11676216765084
"AGPS",2.68812914042556
"AGTR1",0.21038149162514
"AGTRAP",4.07114734501648
"AHCTF1",3.62024284753329
"AHDC1",2.50662415492257
"AHSA1",5.99945913825491
"AIDA",4.51397686785146
"AIF1L",1.66742152048968
"AIFM1",3.61515481006212
"AIMP1",4.27779906960789
"AJ011932.1",0.580141312718991
"AK2P2",0.328988295634722
"AK3",4.20430353917011
"AK6",3.81380026248303
"AKIP1",4.90584189423076
"AKIRIN1",5.98362604167415
"AKR1A1",4.87336216689384
"AKR1B1",7.12203992551395
"AKR1B10",2.87722518432177
"AKR1B10P1",0.926115505186811
"AKR1B15",1.28938864172642
"AKR1C1",1.06790643082393
"AKR1C2",0.825851306514848
"AKR1C3",0.981998975354021
"AKR1C4",0.249701123312432
"AKR1C5P",0.275196416187325
"AKR7A2",5.44376871313132
"AKR7L",1.22363734040912
"AL009176.1",0.324046624386516
"AL021068.1",2.73179961527557
"AL021807.1",2.86933090493852
"AL021997.1",1.39302820660857
"AL022724.1",0.391951815545974
"AL023280.1",1.79217265250661
"AL023803.1",0.852552400565373
"AL023806.1",0.790516555798367
"AL023806.3",2.18971166341642
"AL023881.1",0.750856291942264
"AL024507.2",1.20560637400437
"AL031055.1",0.749507415987291
"AL031058.1",0.582258187114545
"AL031289.1",0.800242296010266
"AL031729.1",2.45812352346895
"AL031777.1",1.36369670591463
"AL031777.2",0.238127159702341
"AL031985.3",3.28819975080814
"AL033527.3",0.305499543419185
"AL034374.1",1.09388991939329
"AL034379.1",2.76216675325943
"AL034399.2",0.249812887683812
"AL035071.1",3.32860120177597
"AL035409.1",0.283855302851153
"AL035446.1",0.807980027942633
"AL035665.1",0.252523211950317
"AL049597.2",1.59503237665781
"AL049637.2",1.05226850092319
"AL049838.1",1.64505729100961
"AL078604.3",0.45194034540006
"AL078644.2",1.35612665226784
"AL080243.2",0.798774729420565
"AL109659.3",0.93721083446989
"AL109811.2",0.57496692973929
"AL109917.1",1.22100498744503
"AL117332.1",2.23894417543271
"AL117335.1",0.268018401370233
"AL118506.1",3.64338139352756
"AL121601.1",1.32617610139772
"AL121832.2",3.60045662081883
"AL121944.1",0.8466872112914
"AL121983.1",0.516711080442494
"AL132821.1",1.62068313470885
"AL133215.2",2.69644576235656
"AL133338.1",2.86370315550339
"AL133353.1",0.660354451371151
"AL133412.1",0.817086950754346
"AL135744.1",1.00495037524562
"AL135786.1",1.29002053250971
"AL135925.1",1.94326321690042
"AL136038.5",1.80993604907498
"AL136040.1",2.54333740806344
"AL136100.1",0.255397618904211
"AL136116.3",2.64861916999435
"AL136162.1",1.50315523142125
"AL136964.1",0.295803692559956
"AL137013.1",1.66931949229179
"AL137077.2",1.81503848391658
"AL137127.1",0.631283003414845
"AL137159.1",1.73426695835083
"AL137784.3",1.54019562703887
"AL138724.1",1.38117645461996
"AL138756.1",1.48236407254059
"AL138760.1",0.717538757446753
"AL138762.1",1.22333853209929
"AL139094.1",1.05372291241009
"AL139100.1",1.00628845458194
"AL139231.1",0.42805901232652
"AL139274.2",0.560825271992209
"AL139351.1",0.360053058400186
"AL139384.1",0.516456555664829
"AL139413.1",1.56988850097025
"AL158207.1",0.492315178684323
"AL158212.3",4.77605119055979
"AL159169.1",1.66499325600953
"AL159169.2",2.49666678561302
"AL159169.3",1.04108951129215
"AL161421.1",2.90699688940195
"AL161431.1",2.82117398645015
"AL161911.1",2.0093160184204
"AL161937.2",0.533098798576118
"AL162411.1",0.954648292153172
"AL162413.1",0.355775335565617
"AL353600.1",0.676961915481604
"AL353608.2",0.980324813611382
"AL353705.4",0.235218713003187
"AL353719.1",1.02273762196338
"AL353726.1",1.5805947335806
"AL353748.1",0.632245032537132
"AL354694.1",0.547520577359533
"AL354702.1",0.980868692279029
"AL354707.3",1.48461983342554
"AL354714.2",1.42669380501094
"AL354718.1",3.42650088915537
"AL354920.1",2.51361268427916
"AL355338.1",4.08684860666697
"AL355355.2",1.8504429098835
"AL355472.2",0.805459719968928
"AL355480.3",0.531521280937077
"AL355864.1",0.32393801122767
"AL356292.1",0.5912894227775
"AL356379.1",0.224552478985479
"AL356488.3",2.45002036777224
"AL357054.4",1.26509680058446
"AL357515.1",1.23063487728144
"AL359643.2",1.40520386293735
"AL359711.2",1.37088787035296
"AL359715.3",2.03541810343656
"AL359752.1",3.78823508153951
"AL359885.1",0.395731378981161
"AL360270.3",0.615723455388862
"AL365203.2",4.71963504051499
"AL365440.1",0.826800708854811
"AL390066.1",2.45767027736987
"AL390728.3",2.49905483110982
"AL390728.4",4.55302816544081
"AL390728.6",6.12603558915172
"AL390955.2",1.59632091658075
"AL391069.2",1.45490885854931
