"","Gene","Category"
"689","Rundc3a","NPCbyNSC"
"690","Snx22","NPCbyNSC"
"691","Scd2","NPCbyNSC"
"692","Gm5468","NPCbyNSC"
"693","Nsmf","NPCbyNSC"
"694","Lysmd2","NPCbyNSC"
"695","Gstm2","NPCbyNSC"
"696","CT025533.1","NPCbyNSC"
"697","Tmem100","NPCbyNSC"
"698","Afap1","NPCbyNSC"
"699","Gpr15","NPCbyNSC"
"700","Snhg6","NPCbyNSC"
"701","Saa2","NPCbyNSC"
"702","Ggt1","NPCbyNSC"
"703","Gm10517","NPCbyNSC"
"704","Slc27a1","NPCbyNSC"
"705","Zic1","NPCbyNSC"
"706","Vpreb1","NPCbyNSC"
"707","Cpa2","NPCbyNSC"
"708","Gm44718","NPCbyNSC"
"709","Osbpl5","NPCbyNSC"
"710","Hrct1","NPCbyNSC"
"711","D030025P21Rik","NPCbyNSC"
"712","Oaf","NPCbyNSC"
"713","Ctrl","NPCbyNSC"
"714","Cend1","NPCbyNSC"
"715","Myo1a","NPCbyNSC"
"716","Tmem74b","NPCbyNSC"
"717","Nkx6-2","NPCbyNSC"
"718","Gm23045","NPCbyNSC"
"719","Chrna1os","NPCbyNSC"
"720","Pde9a","NPCbyNSC"
"721","Ninj2","NPCbyNSC"
"722","Hdhd3","NPCbyNSC"
"723","AC154636.1","NPCbyNSC"
"724","Gm17764","NPCbyNSC"
"725","4933412A08Rik","NPCbyNSC"
