GSM2652126	GSM2652127	GSM2652129	GSM2652134	GSM2652135	GSM2652136
1416220_at	1313	1350	2203	1082	741	1951
1416221_at	86	640	26	58	126	86
1416222_at	469	1413	424	646	163	119
1416223_at	66	14	5	17	9	7
1416224_at	26	137	37	29	133	24
1416225_at	5	5	5	5	5	5
1416226_at	29	8	25	7	19	63
1416227_at	36	5	5	5	5	17
1416228_at	165	175	20	130	297	118
1416229_at	339	309	345	361	497	459
1416230_at	428	29	19	350	612	430
1416231_at	39	74	15	114	56	57
1416232_at	380	313	52	410	306	129
1416233_at	1673	786	593	2107	2068	2071
1416234_at	671	5	3028	2938	2143	776
1416235_at	14	84	15	137	98	205
1416236_a_at	6	6	6	6	5	6
1416237_at	4	5	4	4	4	5
1416238_at	5	5	5	5	5	5
1416239_at	24	79	599	7	65	20
1416240_at	1623	922	5396	3852	5239	3147
1416241_at	1375	209	348	585	1882	634
1416242_at	112	121	11	132	75	97
1416243_a_at	3426	3542	3843	14104	16530	17028
1416244_a_at	9528	9265	10061	11282	10405	10203
1416245_at	410	79	175	890	498	455
1416246_a_at	11	6	5	6	6	6
1416247_at	876	92	448	674	564	392
1416248_at	301	18	465	468	455	352
1416249_at	135	182	84	135	267	103
1416250_at	49	94	49	858	1026	445
1416251_at	5	5	5	729	1545	1041
1416252_at	68	133	125	1081	280	155
1416253_at	16	12	21	60	100	16
1416254_a_at	189	365	69	252	414	1060
1416255_at	5	5	5	5	5	5
1416256_a_at	215	249	198	6784	7242	5969
1416257_at	2997	1140	4703	1276	948	240
1416258_at	6	5	5	861	283	288
1416259_at	88	6	29	5	7	15
1416260_a_at	164	447	890	1006	353	245
1416261_at	1593	720	354	28	31	119
1416262_at	169	77	34	48	18	11
1416263_at	95	45	171	54	58	5
1416264_at	15	21	193	47	18	24
1416265_at	8	6	11	14	10	8
1416266_at	6	6	6	6	6	10
1416267_at	473	188	428	129	437	366
1416268_at	10	5	37	5	35	5
1416269_at	3293	1154	1833	6041	3472	2595
1416270_at	1655	248	916	1739	1532	861
1416271_at	16	41	5	5	5	6
1416272_at	213	537	299	339	306	519
1416273_at	54	4	92	4	4	4
1416274_at	308	453	104	23	73	79
1416275_at	268	260	99	4	8	88
1416276_a_at	4321	3162	3756	12363	11310	11223
1416277_a_at	2698	3728	3445	10603	11796	10924
1416278_a_at	3325	1137	2817	5561	5002	3550
1416279_at	38	32	12	12	59	30
1416280_at	407	157	108	1624	704	520
1416281_at	137	296	247	344	317	334
1416282_at	572	458	165	429	1018	1348
1416283_at	306	82	474	332	466	1344
1416284_at	178	234	142	992	585	526
1416285_at	1551	491	943	736	1092	478
1416286_at	537	36	47	10	7	4
1416287_at	156	19	5	5	5	5
1416288_at	2717	1379	1276	4364	5385	5298
1416289_at	1252	807	534	99	70	12
1416290_a_at	1066	2035	1685	1926	2166	2727
1416291_at	978	287	641	779	1191	1149
1416292_at	965	801	129	136	83	12
1416293_at	970	1702	1789	3137	4105	4378
1416294_at	345	148	286	63	131	60
1416295_a_at	5	5	5	5	5	16
1416296_at	4	5	4	4	4	11
1416297_s_at	4	4	4	4	4	4
1416298_at	5	5	5	5	5	5
1416299_at	5	5	5	51	391	475
1416300_a_at	3845	4060	2040	1780	1675	1225
1416301_a_at	12	27	20	18	7	7
1416302_at	15	23	15	5	6	5
1416303_at	217	460	133	114	63	62
1416304_at	154	16	231	16	31	311
1416305_at	5	7	7	8	7	7
1416306_at	5	5	5	5	5	5
1416307_at	140	104	107	69	180	132
1416308_at	157	314	350	265	414	75
1416309_at	6	169	15	919	3356	2869
1416310_at	6	11	11	37	80	17
1416311_s_at	45	51	49	54	49	152
1416312_at	123	70	175	912	622	692
1416313_at	144	10	13	12	20	33
1416314_at	5	5	5	42	20	6
1416315_at	578	621	698	441	180	150
1416316_at	5	5	5	5	5	5
1416317_a_at	13	5	5	6	10	5
1416318_at	150	32	127	18	5	8
1416319_at	562	579	687	344	183	508
1416320_at	6	6	6	6	6	7
1416321_s_at	1761	687	103	112	30	10
1416322_at	1337	1946	710	43	303	14
1416323_at	131	8	7	147	202	336
1416324_s_at	108	15	5	84	185	422
1416325_at	5	5	5	5	5	5
1416326_at	225	91	61	141	105	6
1416327_at	218	188	543	1864	485	578
1416328_a_at	1897	1188	1816	263	556	569
1416329_at	1743	2395	1326	244	456	35
1416330_at	15164	14406	14969	6471	4443	4749
1416331_a_at	118	91	119	160	180	119
1416332_at	203	265	507	1025	659	352
1416333_at	5	5	5	5	5	5
1416334_at	10	27	6	7	6	22
1416335_at	2225	551	1042	3980	3843	4951
1416336_s_at	547	1664	491	3627	5165	6209
1416337_at	939	1923	1417	675	939	1207
1416338_at	36	99	93	342	83	20
1416339_a_at	1237	195	647	267	531	266
1416340_a_at	165	16	11	55	10	11
1416341_at	60	2306	58	148	396	59
1416342_at	360	178	348	11	12	49
1416343_a_at	1289	864	1916	883	674	358
1416344_at	410	341	549	41	11	8
1416345_at	1447	320	1147	1094	2389	1853
1416346_at	15	19	19	44	71	42
1416347_at	96	17	182	254	320	272
1416348_at	195	187	9	461	179	491
1416349_at	101	80	107	381	219	94
1416350_at	5	5	5	54	5	62
1416351_at	384	30	319	379	211	133
1416352_s_at	7557	3320	5051	3317	2441	3638
